index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 21:11:09.262, 94 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:11:19.263, 94 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:11:29.263, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:11:39.264, 94 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:11:49.265, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:11:59.266, 94 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:12:09.267, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:12:19.267, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:12:29.268, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:12:39.269, 97 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:12:49.270, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:12:59.270, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:13:09.271, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:13:19.272, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:13:29.273, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:13:39.273, 90 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:13:49.274, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:13:59.275, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:14:09.276, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:14:19.279, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:14:29.280, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:14:39.281, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:14:49.282, 95 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:14:59.282, 99 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:15:09.283, 100 %, 32768 MiB, 21521 MiB, 10980 MiB
0, 2024/05/13 21:15:19.284, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:15:29.285, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:15:39.286, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:15:49.287, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:15:59.287, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:16:09.288, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:16:19.289, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:16:29.290, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:16:39.290, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:16:49.291, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:16:59.292, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:17:09.293, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:17:19.294, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:17:29.295, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:17:39.296, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:17:49.297, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:17:59.297, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:18:09.298, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:18:19.299, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:18:29.300, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:18:39.301, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:18:49.301, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:18:59.302, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:19:09.303, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:19:19.304, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:19:29.305, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:19:39.306, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:19:49.306, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:19:59.307, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:20:09.308, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:20:19.309, 0 %, 32768 MiB, 32501 MiB, 0 MiB
, 0 MiB
0, 2024/05/13 21:19:44.615, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:19:54.615, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:20:04.616, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:20:14.617, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 21:20:24.618, 0 %, 32768 MiB, 32501 MiB, 0 MiB
