index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 19:52:26.768, 97 %, 32768 MiB, 11057 MiB, 21444 MiB
0, 2024/05/13 19:52:36.769, 100 %, 32768 MiB, 11891 MiB, 20610 MiB
0, 2024/05/13 19:52:46.770, 97 %, 32768 MiB, 9787 MiB, 22714 MiB
0, 2024/05/13 19:52:56.771, 100 %, 32768 MiB, 10869 MiB, 21632 MiB
0, 2024/05/13 19:53:06.772, 100 %, 32768 MiB, 11047 MiB, 21454 MiB
0, 2024/05/13 19:53:16.772, 100 %, 32768 MiB, 9143 MiB, 23358 MiB
0, 2024/05/13 19:53:26.773, 100 %, 32768 MiB, 12443 MiB, 20058 MiB
0, 2024/05/13 19:53:36.774, 100 %, 32768 MiB, 10673 MiB, 21828 MiB
0, 2024/05/13 19:53:46.775, 100 %, 32768 MiB, 11495 MiB, 21006 MiB
0, 2024/05/13 19:53:56.775, 100 %, 32768 MiB, 12331 MiB, 20170 MiB
0, 2024/05/13 19:54:06.776, 100 %, 32768 MiB, 10813 MiB, 21688 MiB
0, 2024/05/13 19:54:16.777, 100 %, 32768 MiB, 12351 MiB, 20150 MiB
0, 2024/05/13 19:54:26.778, 100 %, 32768 MiB, 11361 MiB, 21140 MiB
0, 2024/05/13 19:54:36.778, 97 %, 32768 MiB, 12189 MiB, 20312 MiB
0, 2024/05/13 19:54:46.779, 100 %, 32768 MiB, 11073 MiB, 21428 MiB
0, 2024/05/13 19:54:56.780, 100 %, 32768 MiB, 10803 MiB, 21698 MiB
0, 2024/05/13 19:55:06.781, 100 %, 32768 MiB, 13117 MiB, 19384 MiB
0, 2024/05/13 19:55:16.781, 100 %, 32768 MiB, 12139 MiB, 20362 MiB
0, 2024/05/13 19:55:26.782, 100 %, 32768 MiB, 10907 MiB, 21594 MiB
0, 2024/05/13 19:55:36.783, 100 %, 32768 MiB, 11983 MiB, 20518 MiB
0, 2024/05/13 19:55:46.784, 100 %, 32768 MiB, 8507 MiB, 23994 MiB
0, 2024/05/13 19:55:56.784, 97 %, 32768 MiB, 10403 MiB, 22098 MiB
0, 2024/05/13 19:56:06.785, 100 %, 32768 MiB, 11349 MiB, 21152 MiB
0, 2024/05/13 19:56:16.786, 100 %, 32768 MiB, 12585 MiB, 19916 MiB
0, 2024/05/13 19:56:26.787, 100 %, 32768 MiB, 11693 MiB, 20808 MiB
0, 2024/05/13 19:56:36.787, 100 %, 32768 MiB, 9905 MiB, 22596 MiB
0, 2024/05/13 19:56:46.788, 100 %, 32768 MiB, 11845 MiB, 20656 MiB
0, 2024/05/13 19:56:56.789, 100 %, 32768 MiB, 12291 MiB, 20210 MiB
0, 2024/05/13 19:57:06.790, 100 %, 32768 MiB, 12235 MiB, 20266 MiB
0, 2024/05/13 19:57:16.790, 97 %, 32768 MiB, 13115 MiB, 19386 MiB
0, 2024/05/13 19:57:26.791, 100 %, 32768 MiB, 12343 MiB, 20158 MiB
0, 2024/05/13 19:57:36.792, 100 %, 32768 MiB, 12443 MiB, 20058 MiB
0, 2024/05/13 19:57:46.793, 100 %, 32768 MiB, 10839 MiB, 21662 MiB
0, 2024/05/13 19:57:56.793, 100 %, 32768 MiB, 10657 MiB, 21844 MiB
0, 2024/05/13 19:58:06.794, 100 %, 32768 MiB, 11719 MiB, 20782 MiB
0, 2024/05/13 19:58:16.795, 100 %, 32768 MiB, 11355 MiB, 21146 MiB
0, 2024/05/13 19:58:26.796, 100 %, 32768 MiB, 12195 MiB, 20306 MiB
0, 2024/05/13 19:58:36.796, 100 %, 32768 MiB, 11359 MiB, 21142 MiB
0, 2024/05/13 19:58:46.797, 97 %, 32768 MiB, 11997 MiB, 20504 MiB
0, 2024/05/13 19:58:56.798, 100 %, 32768 MiB, 9799 MiB, 22702 MiB
0, 2024/05/13 19:59:06.799, 100 %, 32768 MiB, 11059 MiB, 21442 MiB
0, 2024/05/13 19:59:16.799, 100 %, 32768 MiB, 10193 MiB, 22308 MiB
0, 2024/05/13 19:59:26.800, 100 %, 32768 MiB, 13117 MiB, 19384 MiB
0, 2024/05/13 19:59:36.801, 97 %, 32768 MiB, 11361 MiB, 21140 MiB
0, 2024/05/13 19:59:46.802, 100 %, 32768 MiB, 11921 MiB, 20580 MiB
0, 2024/05/13 19:59:56.802, 100 %, 32768 MiB, 12055 MiB, 20446 MiB
0, 2024/05/13 20:00:06.803, 100 %, 32768 MiB, 9425 MiB, 23076 MiB
0, 2024/05/13 20:00:16.804, 100 %, 32768 MiB, 11341 MiB, 21160 MiB
0, 2024/05/13 20:00:26.805, 98 %, 32768 MiB, 13115 MiB, 19386 MiB
0, 2024/05/13 20:00:36.805, 100 %, 32768 MiB, 10941 MiB, 21560 MiB
0, 2024/05/13 20:00:46.806, 100 %, 32768 MiB, 12841 MiB, 19660 MiB
0, 2024/05/13 20:00:56.807, 100 %, 32768 MiB, 12807 MiB, 19694 MiB
0, 2024/05/13 20:01:06.808, 100 %, 32768 MiB, 12241 MiB, 20260 MiB
0, 2024/05/13 20:01:16.808, 100 %, 32768 MiB, 11245 MiB, 21256 MiB
0, 2024/05/13 20:01:26.809, 100 %, 32768 MiB, 11871 MiB, 20630 MiB
0, 2024/05/13 20:01:36.810, 100 %, 32768 MiB, 11241 MiB, 21260 MiB
